FURNITURE, 5wu, 5x8.0 = 40.0vu;
WHEAT, 6wu, 6x1.2000000476837158 = 7.200000286102295vu;
WHEAT, 4wu, 4x1.2000000476837158 = 4.800000190734863vu;
FUEL, 9wu, 9x1.0 = 9.0vu;
FURNITURE, 7wu, 7x8.0 = 56.0vu;
WHEAT, 7wu, 7x1.2000000476837158 = 8.40000033378601vu;
FURNITURE, 2wu, 2x8.0 = 16.0vu;
FURNITURE, 9wu, 9x8.0 = 72.0vu;
FUEL, 4wu, 4x1.0 = 4.0vu;
FUEL, 5wu, 5x1.0 = 5.0vu;
FURNITURE, 1wu, 1x8.0 = 8.0vu;
FUEL, 8wu, 8x1.0 = 8.0vu;
FURNITURE, 2wu, 2x8.0 = 16.0vu;
FURNITURE, 5wu, 5x8.0 = 40.0vu;
FURNITURE, 6wu, 6x8.0 = 48.0vu;
WHEAT, 10wu, 10x1.2000000476837158 = 12.000000476837158vu;
FUEL, 6wu, 6x1.0 = 6.0vu;
FUEL, 7wu, 7x1.0 = 7.0vu;
WHEAT, 4wu, 4x1.2000000476837158 = 4.800000190734863vu;
FRUITS, 6wu, 6x4.0 = 24.0vu;
WHEAT, 1wu, 1x1.2000000476837158 = 1.2000000476837158vu;
FRUITS, 6wu, 6x4.0 = 24.0vu;
FURNITURE, 7wu, 7x8.0 = 56.0vu;
FURNITURE, 5wu, 5x8.0 = 40.0vu;
FUEL, 9wu, 9x1.0 = 9.0vu;
WHEAT, 8wu, 8x1.2000000476837158 = 9.600000381469727vu;
FUEL, 6wu, 6x1.0 = 6.0vu;
FURNITURE, 1wu, 1x8.0 = 8.0vu;
FUEL, 3wu, 3x1.0 = 3.0vu;
FUEL, 7wu, 7x1.0 = 7.0vu;
FUEL, 9wu, 9x1.0 = 9.0vu;
FRUITS, 10wu, 10x4.0 = 40.0vu;
FRUITS, 5wu, 5x4.0 = 20.0vu;
WHEAT, 9wu, 9x1.2000000476837158 = 10.800000429153442vu;
FUEL, 5wu, 5x1.0 = 5.0vu;
FUEL, 1wu, 1x1.0 = 1.0vu;
FUEL, 8wu, 8x1.0 = 8.0vu;
FRUITS, 8wu, 8x4.0 = 32.0vu;
